NUTS_ID,LEVL_CODE,CNTR_CODE,NAME_LATN,NUTS_NAME,MOUNT_TYPE,URBN_TYPE,COAST_TYPE,NAME_ENGL,NAME_FREN,ISO3_CODE,SVRG_UN,CAPT,EU_STAT,EFTA_STAT,CC_STAT,NAME_GERM,geo,geo_level,TIME_PERIOD,unit,gdp_pc_index,obs_flag,conf_status,is_eu,sample_group,log_gdp_pc_index,gdp_map_class
DEA2,2,DE,Köln,Köln,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DEA2,NUTS 2,2023,PPS_HAB_EU27_2020,120,p,,True,EU27,4.787491742782046,100-124
DEA3,2,DE,Münster,Münster,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DEA3,NUTS 2,2023,PPS_HAB_EU27_2020,97,p,,True,EU27,4.574710978503383,75-99
DEA4,2,DE,Detmold,Detmold,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DEA4,NUTS 2,2023,PPS_HAB_EU27_2020,108,p,,True,EU27,4.68213122712422,100-124
DEA5,2,DE,Arnsberg,Arnsberg,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DEA5,NUTS 2,2023,PPS_HAB_EU27_2020,100,p,,True,EU27,4.605170185988092,100-124
DEB1,2,DE,Koblenz,Koblenz,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DEB1,NUTS 2,2023,PPS_HAB_EU27_2020,97,p,,True,EU27,4.574710978503383,75-99
DEB2,2,DE,Trier,Trier,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DEB2,NUTS 2,2023,PPS_HAB_EU27_2020,90,p,,True,EU27,4.499809670330265,75-99
DEB3,2,DE,Rheinhessen-Pfalz,Rheinhessen-Pfalz,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DEB3,NUTS 2,2023,PPS_HAB_EU27_2020,110,p,,True,EU27,4.700480365792417,100-124
DEC0,2,DE,Saarland,Saarland,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DEC0,NUTS 2,2023,PPS_HAB_EU27_2020,97,p,,True,EU27,4.574710978503383,75-99
DED2,2,DE,Dresden,Dresden,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DED2,NUTS 2,2023,PPS_HAB_EU27_2020,93,p,,True,EU27,4.532599493153256,75-99
DED4,2,DE,Chemnitz,Chemnitz,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DED4,NUTS 2,2023,PPS_HAB_EU27_2020,82,p,,True,EU27,4.406719247264253,75-99
DED5,2,DE,Leipzig,Leipzig,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DED5,NUTS 2,2023,PPS_HAB_EU27_2020,98,p,,True,EU27,4.584967478670572,75-99
DEE0,2,DE,Sachsen-Anhalt,Sachsen-Anhalt,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DEE0,NUTS 2,2023,PPS_HAB_EU27_2020,85,p,,True,EU27,4.442651256490317,75-99
DEF0,2,DE,Schleswig-Holstein,Schleswig-Holstein,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DEF0,NUTS 2,2023,PPS_HAB_EU27_2020,96,p,,True,EU27,4.564348191467836,75-99
DEG0,2,DE,Thüringen,Thüringen,,,,Germany,Allemagne,DEU,UN Member State,Berlin,T,F,F,Deutschland,DEG0,NUTS 2,2023,PPS_HAB_EU27_2020,84,p,,True,EU27,4.430816798843313,75-99
