geo,geo_level,TIME_PERIOD,unit,gdp_pc_index,obs_flag,conf_status
FRF2,NUTS 2,2023,PPS_HAB_EU27_2020,89,p,
FRF3,NUTS 2,2023,PPS_HAB_EU27_2020,73,p,
FRG0,NUTS 2,2023,PPS_HAB_EU27_2020,88,p,
FRH0,NUTS 2,2023,PPS_HAB_EU27_2020,85,p,
FRI1,NUTS 2,2023,PPS_HAB_EU27_2020,88,p,
FRI2,NUTS 2,2023,PPS_HAB_EU27_2020,76,p,
FRI3,NUTS 2,2023,PPS_HAB_EU27_2020,83,p,
FRJ1,NUTS 2,2023,PPS_HAB_EU27_2020,78,p,
FRJ2,NUTS 2,2023,PPS_HAB_EU27_2020,90,p,
FRK1,NUTS 2,2023,PPS_HAB_EU27_2020,81,p,
FRK2,NUTS 2,2023,PPS_HAB_EU27_2020,102,p,
FRL0,NUTS 2,2023,PPS_HAB_EU27_2020,97,p,
FRM0,NUTS 2,2023,PPS_HAB_EU27_2020,86,p,
FRY1,NUTS 2,2023,PPS_HAB_EU27_2020,66,p,
FRY2,NUTS 2,2023,PPS_HAB_EU27_2020,68,p,
FRY3,NUTS 2,2023,PPS_HAB_EU27_2020,42,p,
FRY4,NUTS 2,2023,PPS_HAB_EU27_2020,64,p,
FRY5,NUTS 2,2023,PPS_HAB_EU27_2020,29,p,
HR02,NUTS 2,2023,PPS_HAB_EU27_2020,53,,
HR03,NUTS 2,2023,PPS_HAB_EU27_2020,73,,
HR05,NUTS 2,2023,PPS_HAB_EU27_2020,131,,
HR06,NUTS 2,2023,PPS_HAB_EU27_2020,66,,
HU11,NUTS 2,2023,PPS_HAB_EU27_2020,164,,
HU12,NUTS 2,2023,PPS_HAB_EU27_2020,65,,
HU21,NUTS 2,2023,PPS_HAB_EU27_2020,66,,
HU22,NUTS 2,2023,PPS_HAB_EU27_2020,67,,
HU23,NUTS 2,2023,PPS_HAB_EU27_2020,50,,
HU31,NUTS 2,2023,PPS_HAB_EU27_2020,48,,
HU32,NUTS 2,2023,PPS_HAB_EU27_2020,49,,
HU33,NUTS 2,2023,PPS_HAB_EU27_2020,54,,
IE04,NUTS 2,2023,PPS_HAB_EU27_2020,104,,
IE05,NUTS 2,2023,PPS_HAB_EU27_2020,229,,
IE06,NUTS 2,2023,PPS_HAB_EU27_2020,251,,
ITC1,NUTS 2,2023,PPS_HAB_EU27_2020,101,,
ITC2,NUTS 2,2023,PPS_HAB_EU27_2020,128,,
ITC3,NUTS 2,2023,PPS_HAB_EU27_2020,105,,
ITC4,NUTS 2,2023,PPS_HAB_EU27_2020,133,,
ITF1,NUTS 2,2023,PPS_HAB_EU27_2020,84,,
ITF2,NUTS 2,2023,PPS_HAB_EU27_2020,73,,
ITF3,NUTS 2,2023,PPS_HAB_EU27_2020,64,,
ITF4,NUTS 2,2023,PPS_HAB_EU27_2020,64,,
ITF5,NUTS 2,2023,PPS_HAB_EU27_2020,75,,
ITF6,NUTS 2,2023,PPS_HAB_EU27_2020,57,,
ITG1,NUTS 2,2023,PPS_HAB_EU27_2020,60,,
ITG2,NUTS 2,2023,PPS_HAB_EU27_2020,72,,
ITH1,NUTS 2,2023,PPS_HAB_EU27_2020,166,,
ITH2,NUTS 2,2023,PPS_HAB_EU27_2020,127,,
ITH3,NUTS 2,2023,PPS_HAB_EU27_2020,110,,
ITH4,NUTS 2,2023,PPS_HAB_EU27_2020,102,,
ITH5,NUTS 2,2023,PPS_HAB_EU27_2020,118,,
ITI1,NUTS 2,2023,PPS_HAB_EU27_2020,103,,
ITI2,NUTS 2,2023,PPS_HAB_EU27_2020,85,,
ITI3,NUTS 2,2023,PPS_HAB_EU27_2020,90,,
ITI4,NUTS 2,2023,PPS_HAB_EU27_2020,114,,
LT01,NUTS 2,2023,PPS_HAB_EU27_2020,131,,
LT02,NUTS 2,2023,PPS_HAB_EU27_2020,67,,
LU00,NUTS 2,2023,PPS_HAB_EU27_2020,248,,
