NUTS_ID,CNTR_CODE,NAME_LATN,NAME_ENGL,EU_STAT,CC_STAT,is_eu,sample_group,TIME_PERIOD,unit,gdp_pc_index,log_gdp_pc_index,obs_flag,conf_status,gdp_map_class,queen_degree,is_queen_island,z_log_gdp,spatial_lag,local_moran_i,local_perm_mean,local_p_two_sided,local_q_bh,local_p_holm,lisa_quadrant,lisa_fdr_cluster,lisa_holm_cluster
DEA4,DE,Detmold,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,108,4.68213122712422,p,,100-124,6,False,0.6217676563931923,0.6333431826097016,0.39379230634383977,-0.002572185303602215,0.11527,0.290225,1.0,High-High,Not significant,Not significant
DEA5,DE,Arnsberg,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,100,4.605170185988092,p,,100-124,7,False,0.4302806542351603,0.5937869329591468,0.25549502998995094,-0.001571821576351064,0.11089,0.290225,1.0,High-High,Not significant,Not significant
DEB1,DE,Koblenz,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,97,4.574710978503383,p,,75-99,7,False,0.35449500680557505,0.6259658598159362,0.22190177173550796,-0.0012353742560079143,0.09285,0.27214655172413793,1.0,High-High,Not significant,Not significant
DEB2,DE,Trier,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,90,4.499809670330265,p,,75-99,5,False,0.16813283254111702,0.8733618658408807,0.1468408043372223,-0.00044500758539781885,0.04956,0.18862388059701493,1.0,High-High,Not significant,Not significant
DEB3,DE,Rheinhessen-Pfalz,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,110,4.700480365792417,p,,100-124,6,False,0.6674222045111178,0.496608506360394,0.3314475440940276,-0.0029846909650816603,0.21703,0.4257126923076923,1.0,High-High,Not significant,Not significant
DEC0,DE,Saarland,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,97,4.574710978503383,p,,75-99,5,False,0.35449500680557505,0.7054838979034165,0.25009051918849523,-0.001215971126383628,0.11074,0.290225,1.0,High-High,Not significant,Not significant
DED2,DE,Dresden,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,93,4.532599493153256,p,,75-99,7,False,0.24971729113181718,-0.22011086107688646,-0.05496548797681182,-0.0007824605507913543,0.5634,0.756142105263158,1.0,High-Low,Not significant,Not significant
DED4,DE,Chemnitz,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,82,4.406719247264253,p,,75-99,5,False,-0.0634857341958336,0.11140408538579287,-0.007072570153132397,0.0001133539048424269,0.79692,0.9070891592920354,1.0,Low-High,Not significant,Not significant
DED5,DE,Leipzig,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,98,4.584967478670572,p,,75-99,5,False,0.38001423628396247,0.05848042012443874,0.022223392191153858,-0.0013314130143238208,0.8882,0.9541285714285713,1.0,High-High,Not significant,Not significant
DEE0,DE,Sachsen-Anhalt,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,85,4.442651256490317,p,,75-99,5,False,0.02591680800786937,0.31385095283306597,0.008134014887661436,-4.8519041875425315e-05,0.47631,0.714465,1.0,High-High,Not significant,Not significant
DEF0,DE,Schleswig-Holstein,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,96,4.564348191467836,p,,75-99,4,False,0.32871132464450503,0.7115769229181094,0.23390339291887258,-0.0011501146087562792,0.151,0.3565277777777777,1.0,High-High,Not significant,Not significant
DEG0,DE,Thüringen,Germany,T,F,True,EU27,2023,PPS_HAB_EU27_2020,84,4.430816798843313,p,,75-99,7,False,-0.0035285423088255467,0.514607385998996,-0.0018158139339315767,6.7793244819252325e-06,0.16824,0.3864972972972973,1.0,Low-High,Not significant,Not significant
DK01,DK,Hovedstaden,Denmark,T,F,True,EU27,2023,PPS_HAB_EU27_2020,170,5.135798437050262,,,150+,1,False,1.7505384308487895,0.14033250910264938,0.2456574502816253,-0.01232416430487647,0.87205,0.9503108974358975,1.0,High-High,Not significant,Not significant
DK02,DK,Sjælland,Denmark,T,F,True,EU27,2023,PPS_HAB_EU27_2020,89,4.48863636973214,,,75-99,1,False,0.14033250910264938,1.7505384308487895,0.2456574502816253,-0.00016807634707912306,0.08539,0.26234277108433735,1.0,High-High,Not significant,Not significant
DK03,DK,Syddanmark,Denmark,T,F,True,EU27,2023,PPS_HAB_EU27_2020,109,4.6913478822291435,,,100-124,2,False,0.6446996441874406,0.48670548441597283,0.31377885262705363,-0.0033389934641817787,0.48468,0.7164067415730336,1.0,High-High,Not significant,Not significant
DK04,DK,Midtjylland,Denmark,T,F,True,EU27,2023,PPS_HAB_EU27_2020,109,4.6913478822291435,,,100-124,2,False,0.6446996441874406,0.5374901492113004,0.3465197079507798,-0.0033012034583531193,0.44043,0.6970508982035928,1.0,High-High,Not significant,Not significant
DK05,DK,Nordjylland,Denmark,T,F,True,EU27,2023,PPS_HAB_EU27_2020,100,4.605170185988092,,,100-124,1,False,0.4302806542351603,0.6446996441874406,0.277401784686147,-0.0010651462552290385,0.52813,0.7359188524590163,1.0,High-High,Not significant,Not significant
EE00,EE,Eesti,Estonia,T,F,True,EU27,2023,PPS_HAB_EU27_2020,80,4.382026634673881,,,75-99,1,False,-0.12492349920757029,-0.4571633661608987,0.057110447410331194,4.61856828428581e-05,0.65472,0.8220362318840579,1.0,Low-Low,Not significant,Not significant
EL30,EL,Attiki,Greece,T,F,True,EU27,2023,PPS_HAB_EU27_2020,96,4.564348191467836,p,,75-99,2,False,0.32871132464450503,-0.925426567462982,-0.30419819285197425,-0.0014077337487166585,0.1887,0.40098750000000005,1.0,High-Low,Not significant,Not significant
EL41,EL,Voreio Aigaio,Greece,T,F,True,EU27,2023,PPS_HAB_EU27_2020,42,3.7376696182833684,p,,<50,0,True,,,,,,,,No contiguity neighbor,No contiguity neighbor,No contiguity neighbor
EL42,EL,Notio Aigaio,Greece,T,F,True,EU27,2023,PPS_HAB_EU27_2020,69,4.23410650459726,p,,50-74,0,True,,,,,,,,No contiguity neighbor,No contiguity neighbor,No contiguity neighbor
EL43,EL,Kriti,Greece,T,F,True,EU27,2023,PPS_HAB_EU27_2020,59,4.07753744390572,p,,50-74,0,True,,,,,,,,No contiguity neighbor,No contiguity neighbor,No contiguity neighbor
EL51,EL,"Anatoliki Makedonia, Thraki",Greece,T,F,True,EU27,2023,PPS_HAB_EU27_2020,44,3.784189633918261,p,,<50,4,False,-1.6124035717725318,-0.6366223695505497,1.026492182533599,-0.006203841944342334,0.19523,0.40451159999999997,1.0,Low-Low,Not significant,Not significant
EL52,EL,Kentriki Makedonia,Greece,T,F,True,EU27,2023,PPS_HAB_EU27_2020,55,4.007333185232471,p,,50-74,5,False,-1.0571994183298024,-1.0873139173195812,1.14950764093216,-0.0020887620204299165,0.01398,0.09522236842105262,1.0,Low-Low,Not significant,Not significant
EL53,EL,Dytiki Makedonia,Greece,T,F,True,EU27,2023,PPS_HAB_EU27_2020,50,3.912023005428146,p,,50-74,4,False,-1.294340968605761,-1.4136165348068945,1.8297017948990753,-0.0038105746028387903,0.00405,0.04917857142857142,0.95175,Low-Low,Low-Low,Not significant
EL54,EL,Ipeiros,Greece,T,F,True,EU27,2023,PPS_HAB_EU27_2020,44,3.784189633918261,p,,<50,3,False,-1.6124035717725318,-1.2785680490837366,2.0615676890968544,-0.006842222155448865,0.02537,0.13764574468085108,1.0,Low-Low,Not significant,Not significant
EL61,EL,Thessalia,Greece,T,F,True,EU27,2023,PPS_HAB_EU27_2020,52,3.9512437185814275,p,,50-74,5,False,-1.1967557920884904,-1.2382150665153189,1.4818410527034431,-0.003210836082235654,0.00487,0.051743750000000005,1.0,Low-Low,Not significant,Not significant
EL62,EL,Ionia Nisia,Greece,T,F,True,EU27,2023,PPS_HAB_EU27_2020,63,4.143134726391533,p,,50-74,0,True,,,,,,,,No contiguity neighbor,No contiguity neighbor,No contiguity neighbor
EL63,EL,Dytiki Elláda,Greece,T,F,True,EU27,2023,PPS_HAB_EU27_2020,49,3.8918202981106265,p,,<50,4,False,-1.3446073865569588,-1.1650031246967465,1.566471806829183,-0.004691568775358627,0.01874,0.1148093023255814,1.0,Low-Low,Not significant,Not significant
EL64,EL,Sterea Elláda,Greece,T,F,True,EU27,2023,PPS_HAB_EU27_2020,59,4.07753744390572,p,,50-74,3,False,-0.8825239873115402,-0.7375506180003146,0.6509061122417283,-0.00107128092574488,0.19676,0.40451159999999997,1.0,Low-Low,Not significant,Not significant
EL65,EL,Peloponnisos,Greece,T,F,True,EU27,2023,PPS_HAB_EU27_2020,57,4.04305126783455,p,,50-74,2,False,-0.9683291476144239,-0.5079480309562269,0.49186088384826815,-0.0009775331669231997,0.47031,0.7096393491124261,1.0,Low-Low,Not significant,Not significant
ES11,ES,Galicia,Spain,T,F,True,EU27,2023,PPS_HAB_EU27_2020,84,4.430816798843313,p,,75-99,3,False,-0.0035285423088255467,-0.16714400057183845,0.0005897746776840934,7.841915868433985e-06,0.77571,0.8991184090909091,1.0,Low-Low,Not significant,Not significant
ES12,ES,Principado de Asturias,Spain,T,F,True,EU27,2023,PPS_HAB_EU27_2020,82,4.406719247264253,p,,75-99,3,False,-0.0634857341958336,0.006054226041222233,-0.00038435698521452864,0.00013167491993173823,0.98847,0.9923616141732283,1.0,Low-High,Not significant,Not significant
