STRUCTURE,STRUCTURE_ID,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,EL65,2023,57,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,ES,2023,91,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,ES1,2023,83,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,ES11,2023,84,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,ES12,2023,82,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,ES13,2023,83,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,ES2,2023,108,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,ES21,2023,114,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,ES22,2023,108,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,ES23,2023,95,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,ES24,2023,102,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,ES3,2023,125,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,ES30,2023,125,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,ES4,2023,78,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,ES41,2023,86,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,ES42,2023,73,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,ES43,2023,70,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,ES5,2023,94,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,ES51,2023,104,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,ES52,2023,78,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,ES53,2023,99,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,ES6,2023,69,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,ES61,2023,68,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,ES62,2023,75,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,ES63,2023,66,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,ES64,2023,60,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,ES7,2023,71,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,ES70,2023,71,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,EU27_2020,2023,100,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FI,2023,103,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FI1,2023,103,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FI19,2023,94,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FI1B,2023,131,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FI1C,2023,89,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FI1D,2023,88,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FI2,2023,114,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FI20,2023,114,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FR,2023,99,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FR1,2023,160,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FR10,2023,160,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRB,2023,83,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRB0,2023,83,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRC,2023,80,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRC1,2023,83,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRC2,2023,75,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRD,2023,83,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRD1,2023,81,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRD2,2023,84,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRE,2023,77,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRE1,2023,78,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRE2,2023,74,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRF,2023,83,p,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),A,PPS_HAB_EU27_2020,FRF1,2023,91,p,
